Title,Summary,Link,Date,Author,Teams,Article,Outlet
Papers: Arsenal meeting convinced Eze to join over Spurs,The top stories and transfer rumours from Thursday's newspapers...,https://www.skysports.com/football/news/11095/13415434/eberechi-eze-transfer-news-arsenal-deal-for-crystal-palace-forward-worth-68m-paper-talk,"Wed, 20 Aug 2025 23:00:00",,"['Arsenal', 'Tottenham Hotspur']","The top stories and transfer rumours from Thursday's newspapers...
THE ATHLETIC
Arsenal's deal for Eberechi Eze is worth in the region of his expired £68m release clause, matching the level of fee Tottenham Hotspur were prepared to pay.
BlueCo - the group that owns Chelsea and Strasbourg - has reached an agreement to sign midfielder Julio Enciso from Brighton & Hove Albion.
Nottingham Forest are exploring a deal to re-sign Aston Villa right-back Matty Cash.
Alex Moreno is set to complete a move to Girona from Aston Villa.
DAILY MAIL
Eberechi Eze was sold on joining Arsenal since meeting sporting director Andrea Berta and manager Mikel Arteta last month.
Chelsea have less than two weeks to prove to UEFA that they have balanced their books enough to be permitted to add their summer signings to Enzo Maresca's Champions League squad for this season.
DAILY TELEGRAPH
Arsenal are believed to be ready to offer a total package worth over £60m for Eberechi Eze.
DAILY MIRROR
Rico Lewis is set to snub Nottingham Forest and sign a new contract with Manchester City.
Sevilla star Lucien Agoume is the latest name to be linked with Manchester United as a cheaper alternative to Carlos Baleba.
THE TIMES
Arsenal expect to sign Eberechi Eze for £60m, having hijacked Tottenham Hotspur's all-but sealed deal.
THE INDEPENDENT
Chelsea forward Lauren James will be sidelined for ""a period of time"" by the ankle injury she suffered during England's victorious Euro 2025 campaign.
THE SUN
Cole Palmer's bid to trademark his Cold Palmer nickname has been challenged by posh French vineyard Chateau Palmer.
Arsenal are weighing up a dramatic swoop for Aston Villa star Morgan Rogers.
THE GUARDIAN
Arsenal have agreed a deal worth up to £67.5m for Eberechi Eze after Kai Havertz sustained a knee injury during their win against Manchester United on Sunday.
The Rugby Football League has been asked to produce an action plan detailing how it will comply with Sport England's Code for Sports Governance, with critical funding for the sport due to be released next month remaining in the balance.
Tiger Woods will chair a newly created PGA Tour committee aimed at reshaping golf's competitive landscape in the US.
Coco Gauff has reportedly split with coach Matthew Daly just days before the start of the US Open, making another shakeup to her support team on the eve of the year's final major.
Lizbeth Ovalle is expected to join the Orlando Pride from Mexico's Tigres UANL on a record transfer fee of $1.5m (£1.1m), a person with knowledge of the negotiations told The Associated Press on Wednesday.
Keely Hodgkinson sent another ominous warning to her rivals before the World Athletics Championships next month as she smashed the meeting record to win the 800m at the Lausanne Diamond League.




From this season, Sky Sports' Premier League coverage will increase from 128 matches to at least 215 games exclusively live.
And 80 per cent of all televised Premier League games this season will be on Sky Sports.
",SkySports
Aston Villa interested in signing Chelsea striker Jackson,Aston Villa are interested in signing Chelsea striker Nicolas Jackson.,https://www.skysports.com/football/news/11095/13415336/nicolas-jackson-transfer-news-aston-villa-interested-in-signing-chelsea-striker-after-exploring-conditions-of-deal,"Wed, 20 Aug 2025 18:00:00",,['Chelsea'],"Aston Villa are interested in signing Chelsea striker Nicolas Jackson.
Villa are understood to have explored the conditions of a deal for the 24-year-old, who played under head coach Unai Emery at Villarreal.
Jackson told Chelsea earlier this month that he wants to consider his options during the transfer window. Chelsea signed strikers Joao Pedro and Liam Delap this summer.
Jackson was absent from Chelsea's squad for friendlies against Bayer Leverkusen and AC Milan ahead of the Premier League season.
The striker served the final game of a suspension in Chelsea's first fixture of the season against Crystal Palace.
Jackson scored 13 goals in 37 appearances across all competitions last season, having netted 17 in 44 during his first year at the club.
Chelsea have sold a host of players this summer, with another nine likely to leave, while Manchester United's Alejandro Garnacho and RB Leipzig's Xavi Simons top targets to bolster their attacking line.
Latest from Sky Sports News' Kaveh Solhekol:
Jackson's future will be resolved when it becomes clear whether Alexander Isak is staying at or leaving Newcastle United.
There are up to six clubs interested in signing Jackson and Chelsea are expecting significant bids when there is more clarity about Isak's future.
Aston Villa are one of the interested clubs, but it remains to be seen whether they would be able to afford the asking price.
Jackson's value will be determined by the market price paid for strikers by Premier League clubs this summer.
Latest from Sky Sports News' Kaveh Solhekol:
Chelsea are close to agreeing a deal to sell Renato Veiga to Villarreal in a deal expected to be worth £26m (€30m).
The defender joined Chelsea last summer from Basel for £12m on a contract until June 2031.
He scored two goals in 18 appearances before spending the second half of last season on loan at Juventus, where he played 15 times.
Veiga was also called up to the Portugal squad after signing for Chelsea and has earned five caps.
Latest from Sky Sports News' Kaveh Solhekol:
Fulham are considering making a move to sign Raheem Sterling from Chelsea, but a deal appears unlikely at the moment.
Sterling is expected to leave Chelsea this summer after spending last season on loan at Arsenal.
He has been training away from the first-team squad and did not travel to the United States for the Club World Cup.
Chelsea signed him from Manchester City three years ago in a £47.5m deal and he has two years left on his contract.
Sterling has not played for Chelsea since he scored against Bournemouth in the final game of the 2023/24 season.
In
Jamie Gittens - Dortmund, £51.5m
Joao Pedro - Brighton, £60m
Liam Delap - Ipswich, £30m
Jorrel Hato - Ajax, £38.5m
Estevao Willian - Palmeiras, £29m
Dario Essugo - Sporting, £18.5m
Mamadou Sarr - RC Strasbourg, £12m
Kendry Paez - Independiente del Valle, £17.3m
Out
Kendry Paez - Strasbourg, loan
Djordje Petrovic - Bournemouth, £25m
Bashir Humphrey - Burnley, undisclosed
Dylan Williams - Burton, undisclosed
Marcus Bettinelli - Man City, undisclosed
Kepa Arrizabalga - Arsenal, £5m
Teddy Sharman-Lowe - Bolton, loan
Mathis Amougou - Strasbourg, undisclosed
Zak Sturge - Millwall, undisclosed
Noni Madueke - Arsenal, £52m
Caleb Wiley - Watford, loan
Mike Penders - RC Strasbourg, loan
Joao Felix - Al Nassr, £43.7m
Ishe Samuels-Smith - Strasbourg, £6.9m
Kiernan Dewsbury-Hall - Everton, £29m
Mamadou Sarr - Strasbourg, loan
Leo Castledine - Huddersfield, loan
Lesley Ugochukwu - Burnley, undisclosed
Marc Guiu - Sunderland, loan
Armando Broja - Burnley, £20m
From this season, Sky Sports' Premier League coverage will increase from 128 matches to at least 215 games exclusively live.
And 80 per cent of all televised Premier League games this season are on Sky Sports.
",SkySports
Liverpool vs Man Utd live on Sky Sports in October,Liverpool vs Man Utd will be live on <em>Sky Sports</em> in October.,https://www.skysports.com/football/news/11095/13415244/premier-league-2025-26-fixtures-dates-schedule-liverpool-vs-man-utd-live-on-sky-sports-in-october,"Wed, 20 Aug 2025 16:00:00",,"['Manchester United', 'Liverpool']","Liverpool vs Man Utd will be live on Sky Sports in October.
The iconic rivalry clash will be shown from Anfield on Sunday, October 19 at 4.30pm, while Liverpool's trip to Chelsea (Saturday, October 4 at 5.30pm) will also be in front of the Sky Sports cameras in what is looking like a key month for the Premier League champions' title defence.
We'll be tracking the progress of their major rivals for the Premier League crown, too, with Man City's away games at Brentford (Sunday, October 5 at 4.30pm) and Aston Villa (Sunday, October 26 at 2pm) on the schedule, as well as Arsenal's London derby at Fulham (Saturday, October 18 at 5.30pm).
Man Utd vs Brighton (Saturday, October 25 at 5.30pm), Newcastle vs Nottingham Forest (Sunday, October 5 at 2pm) and Tottenham vs Aston Villa (Sunday, October 19 at 2pm) are also among a bill of intriguing fixtures coming up live on Sky Sports.
Friday October 3
Bournemouth vs Fulham - live on Sky Sports, kick-off 8pm
Saturday October 4
Chelsea vs Liverpool - live on Sky Sports, kick-off 5.30pm
Sunday October 5
Aston Villa vs Burnley - live on Sky Sports, kick-off 2pm*
Newcastle vs Nottingham Forest - live on Sky Sports, kick-off 2pm*
Wolves vs Brighton - live on Sky Sports, kick-off 2pm
Brentford vs Man City - live on Sky Sports, kick-off 4.30pm
Saturday October 18
Fulham vs Arsenal - live on Sky Sports, kick-off 5.30pm
Sunday October 19
Tottenham vs Aston Villa - live on Sky Sports, kick-off 2pm
Liverpool vs Man Utd - live on Sky Sports, kick-off 4.30pm
Monday October 20
West Ham vs Brentford - live on Sky Sports, kick-off 8pm
Friday October 24
Leeds vs West Ham - live on Sky Sports, kick-off 8pm
Saturday October 25
Man Utd vs Brighton - live on Sky Sports, kick-off 5.30pm
Sunday October 26
Bournemouth vs Forest - live on Sky Sports, kick-off 2pm***
Aston Villa vs Man City - live on Sky Sports, kick-off 2pm****
Wolves vs Burnley - live on Sky Sports, kick-off 2pm
Everton vs Tottenham - live on Sky Sports, kick-off 4.30pm
*Displaced match due to participation of Aston Villa in the Europa League the preceding Thursday
**Displaced match due to participation of Nottingham Forest in the Europa League the preceding Thursday
***Displaced match due to participation of Nottingham Forest in the Europa League the preceding Thursday
****Displaced match due to participation of Aston Villa in the Europa League the preceding Thursday
Friday August 15
Liverpool vs Bournemouth - live on Sky Sports, kick-off 8pm
Saturday August 16
Wolves vs Manchester City - live on Sky Sports, kick-off 5.30pm
Sunday August 17
Chelsea vs Crystal Palace - live on Sky Sports, kick-off 2pm
Nottingham Forest vs Brentford - live on Sky Sports, kick-off 2pm
Manchester United vs Arsenal - live on Sky Sports, kick-off 4.30pm
Monday August 18
Leeds vs Everton - live on Sky Sports, kick-off 8pm
Friday August 22
West Ham vs Chelsea - live on Sky Sports, kick-off 8pm
Saturday August 23
Arsenal vs Leeds - live on Sky Sports, kick-off 5.30pm
Sunday August 24
Crystal Palace vs Nottingham Forest - live on Sky Sports, kick-off 2pm
Everton vs Brighton - live on Sky Sports, kick-off 2pm
Fulham vs Man Utd - live on Sky Sports, kick-off 4.30pm
Monday August 25
Newcastle vs Liverpool - live on Sky Sports, kick-off 8pm
Friday August 29
Aston Villa vs Crystal Palace - live on Sky Sports, kick-off 8pm
Saturday August 30
Leeds vs Newcastle - live on Sky Sports, kick-off 5.30pm
Sunday August 31
Brighton vs Man City - live on Sky Sports, kick-off 2pm
Nottingham Forest vs West Ham - live on Sky Sports, kick-off 2pm
Liverpool vs Arsenal - live on Sky Sports, kick-off 4.30pm
Saturday September 13
West Ham vs Tottenham - live on Sky Sports, kick-off 5.30pm
Brentford vs Chelsea - live on Sky Sports, kick-off 8pm
Sunday September 14
Burnley vs Liverpool - live on Sky Sports, kick-off 2pm
Man City vs Man Utd - live on Sky Sports, kick-off 4.30pm
Saturday September 20
Man Utd vs Chelsea - live on Sky Sports, kick-off 5.30pm
Fulham vs Brentford - live on Sky Sports, kick-off 8pm
Sunday September 21
Sunderland vs Aston Villa - live on Sky Sports, kick-off 2pm
Arsenal vs Man City - live on Sky Sports, kick-off 4.30pm
Saturday September 27
Nottingham Forest vs Sunderland - live on Sky Sports, kick-off 5.30pm
Sunday September 28
Tottenham vs Wolves - live on Sky Sports, kick-off 2pm*
Newcastle vs Arsenal - live on Sky Sports, kick-off 4.30pm
Monday September 29
Everton vs West Ham - live on Sky Sports, kick-off 8pm
*Tottenham vs Wolves is subject to possible movement dependent upon the participation of Tottenham in the Champions League the following Tuesday.
Arsenal fixtures
Aston Villa fixtures
Bournemouth fixtures
Brentford fixtures
Brighton fixtures
Burnley fixtures
Chelsea fixtures
Crystal Palace fixtures
Everton fixtures
Fulham fixtures
Leeds fixtures
Liverpool fixtures
Man City fixtures
Man Utd fixtures
Newcastle fixtures
Nottingham Forest fixtures
Sunderland fixtures
Tottenham fixtures
West Ham fixtures
Wolves fixtures
The 2025/26 Premier League season will conclude on Sunday May 24 2026.
The Carabao Cup final will take place on Sunday March 22 and the FA Cup final will take place on Saturday May 16.
The Champions League final will be held on Saturday May 30. The Europa League final will be played on Wednesday May 20 in Istanbul, with the Conference League final a week later on Wednesday May 27 in Germany.
The World Cup will start on Thursday June 11 and end with the final on Sunday July 19.
",SkySports
Arsenal's Havertz being assessed over knee injury,Kai Havertz is currently being assessed over a knee injury,https://www.skysports.com/football/news/11095/13415182/kai-havertz-injury-arsenal-forward-being-assessed-over-knee-problem,"Wed, 20 Aug 2025 12:11:00",Sam Blitz,['Arsenal'],"Kai Havertz is currently being assessed over a knee injury
The German was absent from Arsenal's open training session put on for the fans at the Emirates Stadium on Wednesday.
Havertz has only just returned from a long-term hamstring injury which kept him out between February and May.
The club are assessing the situation and are waiting for the injury to settle before further analysis.
Just days ago, the topic of debate was which striker out of Havertz or Viktor Gyokeres should start in Arsenal's big game against Liverpool next week. ""I think Mikel Arteta will go back to Havertz in the big games,"" said Jamie Carragher. ""I would be very surprised if Havertz doesn't play.""
Now it seems that the decision has been taken out of Arteta's hands.
No matter the severity of this Havertz knee injury, the German will be a major doubt for the trip to Anfield - placing a huge focus on Gyokeres in the first big game of his Arsenal career.
But once again, Arsenal are talking about injuries after it derailed them last season. Havertz, Gabriel Jesus and Bukayo Saka all missed over a dozen league matches due to injury last term - only the latter is fully fit at the start of this one.
Arsenal do know that Mikel Merino can fill in as an emergency option but that was an awkward scenario last season which Arteta and the Arsenal team made the most of. Playing the Spaniard as a No 9 again is a situation they want to avoid, if possible.
What this situation does tell us, though, is that Arsenal will have to get Gyokeres on song soon, after a slightly underwhelming Premier League debut at Manchester United last weekend.
Saturday's game against Leeds - which Gyokeres will almost certainly start now - is important in the early context of Arsenal's season. Goals are needed.
August 23: Leeds (H), Premier League, kick-off 5.30pm, live on Sky Sports
August 31: Liverpool (A), Premier League, kick-off 4.30pm, live on Sky Spotrs
September 13: Nottingham Forest (H), Premier League, kick-off 12.30pm
September 16-18: First Champions League fixture
September 21: Manchester City (H), Premier League, kick-off 4.30pm, live on Sky Sports
September 28: Newcastle (A), Premier League, kick-off 4.30pm, live on Sky Sports
This season, Sky Sports' Premier League coverage will increase from 128 matches to at least 215 games exclusively live.
And 80 per cent of all televised Premier League games this season will be on Sky Sports.
",SkySports
Arsenal's ruthless Eze coup shows intent - leaving Spurs stunned,"Arsenal's stunning coup to snatch Eberechi Eze away from Spurs is a ruthless statement of intent, says BBC chief football writer Phil McNulty.",https://www.bbc.com/sport/football/articles/c93de7x257xo?at_medium=RSS&at_campaign=rss,"Wed, 20 Aug 2025 21:59:02",Phil McNulty,"['Arsenal', 'Tottenham Hotspur']","Arsenal's dramatic move to steal Eberechi Eze away from arch-rivals Tottenham Hotspur is a ruthless statement of intent designed to show this is the season they can finally claim the biggest prizes.
Spurs were ready to roll out the welcoming carpet for Crystal Palace's England forward on Wednesday, with every indication a deal for the 27-year-old was virtually done.
It then filtered out that Arsenal were assessing the seriousness of a knee injury to forward Kai Havertz, which could potentially put a dent in their attacking resources - a weakness that played a significant part in manager Mikel Arteta's side finishing empty-handed for the fifth year in succession last season.
Instead of taking the cheaper option of exploring the loan market, as was first expected, Arsenal went for broke in spectacular style by setting up a £60m coup to take Eze to Emirates Stadium.
Eze's move to Arsenal is not simply a devastating psychological blow aimed across north London at Spurs.
It is a clear signal the Gunners have no intention of falling short in their stated aim of mounting a serious Premier League title challenge, as well as going deep in the Champions League once more after reaching the semi-finals last season.
It is a strategy in stark contrast to the inertia that gripped Arsenal last season, when their failure to solve an obvious problem - by signing a recognised striker - cost them dearly.
Spurs thought they had Eze wrapped up, with the possibility of a cash-plus-Richarlison deal discussed, but Arsenal moved with lightning speed once they were confronted by the possibility of Havertz facing a spell on the sidelines.
Arsenal have been linked with Eze all summer, but it was thought their interest had cooled once Ethan Nwaneri agreed a new five-year contract, on top of signing Chelsea winger Noni Madueke in a £48.5m deal.
Havertz's injury, and its potential consequences, reignited that interest to leave Spurs stunned.
Arteta knows this is the season he must land a major prize, and to do so he has been heavily backed by Arsenal's hierarchy.
As well as Madueke, the Gunners have concluded moves to sign Spain's outstanding midfielder Martin Zubimendi in a deal worth up to £60m and, at least 12 months too late, a recognised striker in Viktor Gyokeres, from Sporting for £64m.
In Eze, who had two years left on his Palace contract, Arsenal will get a versatile forward rich in natural talent who is a match-winner - as he proved when scoring the winner against Manchester City in May's FA Cup final.
This was a follow-up to the spectacular right-foot finish that set Palace on their way to a 3-0 win over Aston Villa at Wembley in the semi-final. Eze also scored the Eagles' opener when they beat Fulham 3-0 at Craven Cottage in the quarter-final.
Eze has demonstrated he has the temperament and talent for the big occasion when inspiring Palace to the first major trophy in their history.
Arsenal will hope he has plenty of those occasions ahead.
He is a scorer and creator who will add real threat to Arsenal's front line, with 14 goals and 11 assists in all competitions last season.
Eze was a boyhood Arsenal fan and was part of the club's academy until he was 13. He may have been initially keen on a move to Spurs, but once the Gunners showed their hand there was only one part of north London he was heading to.
He has achieved his goals the hard way, spending time at Fulham, Reading and Millwall before signing for Queens Park Rangers. He left Loftus Road for Palace in a £19.5m deal in August 2020.
Spurs believe they did all they could to conclude a deal - apart from actually concluding it - but it is a hammer blow to chairman Daniel Levy and manager Thomas Frank, who also thought they had a deal for Morgan Gibbs-White in the bag only for him to sign a new contract at Nottingham Forest.
Arsenal will revel in the local rivalry of snatching away one of Tottenham's prime targets, but the wider context demonstrates the Gunners are deadly serious about ending a wait for success that now stretches back to 2020.
Eze has previously admitted to ""crying for a week"" when he was let go by Arsenal in 2011, but the gifted forward has now been given a golden opportunity to make up for lost time.
",BBC
Arsenal move ahead of Spurs in race for £60m Eze,"Arsenal launch a move for Crystal Palace attacker Eberechi Eze, who is expected to choose them ahead of Tottenham.",https://www.bbc.com/sport/football/articles/czerxg66w8lo?at_medium=RSS&at_campaign=rss,"Wed, 20 Aug 2025 19:56:15",Sami Mokbel,"['Arsenal', 'Tottenham Hotspur']","Eberechi Eze is expected to join Arsenal for £60m after the Gunners reached an agreement in principle to sign the forward from Crystal Palace.
Sources have told BBC Sport that Eze favours a move to Arsenal, with whom he started his youth career, despite north London rivals Tottenham having been in talks to sign him.
A deal for Spurs to sign Eze had been agreed between the clubs earlier on Wednesday after talks lasting 10 days, sources said, but it was not finalised.
Arsenal's offer also includes £8m in add-ons.
The Gunners have concerns over a knee injury sustained by attacker Kai Havertz and Eze, 27, would offer Mikel Arteta a fresh option in advanced areas.
Crystal Palace boss Oliver Glasner said on Wednesday that Eze would start in Thursday's Uefa Conference League play-off tie against Fredrikstad, along with Liverpool-linked Marc Guehi, as they remain ""committed to the team"".
Sources have told BBC Sport that Eze wants to join Arsenal before the transfer window closes on 1 September.
Eze had a goal ruled out when Palace began their Premier League campaign with a draw at Chelsea on Sunday.
The England international has an expired release clause in his contract which was worth an initial £60m, plus a further £8m in add-ons.
Palace benefited hugely from Eze's 14 goals across all competitions last season, which included a strike in their 1-0 FA Cup final win against Manchester City.
Eze joined the Eagles from Queens Park Rangers for £19.5m in 2020 and his current deal runs until the summer of 2027.
One of the moments of the transfer window for Arsenal
If Arsenal beat their rivals Tottenham to complete the signing of Eze, there is little doubt it would be one of the standout moments of the transfer window.
It's certainly a moment their fans will revel in.
Spurs would have thought they had their man almost signed and sealed, but things can change quickly in football.
Arsenal had been actively looking at options in the market and have been monitoring Eze for a long time.
With Ethan Nwaneri signing a new deal and the signing of Noni Madueke adding to the options provided by Gabriel Martinelli and Leandro Trossard, signing another forward was not a pressing need.
However, Kai Havertz's knee injury has changed things, and although the Gunners do not yet know how long the German faces out of action, a reinforcement was needed.
A blow for Spurs
For Tottenham, news that Eze is on the brink of joining Arsenal will be a major blow.
New boss Thomas Frank had targeted Eze after losing James Maddison to injury and the club had been confident of completing a deal.
Club insiders at Tottenham insist there is nothing more they could have done to sign Eze, and the fact that he was a boyhood Arsenal fan who was in the club's academy until he was 13 meant that once the Gunners came in for him there was only one place he would end up.
",BBC
Chelsea sales reach £250m as Veiga fee is agreed,Renato Veiga is set to leave Stamford Bridge with Chelsea on way to earn £250m from selling players this summer.,https://www.bbc.com/sport/football/articles/c62n5r3g9e9o?at_medium=RSS&at_campaign=rss,"Wed, 20 Aug 2025 18:38:41",Nizaar Kinsella,['Chelsea'],"Chelsea have agreed to sell defender Renato Veiga to Villarreal for a fee rising to £26m - taking total player sales to over £250m for the Blues this summer.
Veiga, 22, is expected to sign a seven-year contract and complete a medical in Spain on Thursday after the Spanish club agreed to pay close to their transfer record.
The Portugal international was deemed surplus to requirements by manager Enzo Maresca and was training in the so-called 'bomb squad' - a group of senior players away from the first team - having asked to play at centre-back instead of left-back midway through last season.
Chelsea will make a substantial profit on Veiga, who played 18 times for the club after joining from FC Basel in 2024 for £12m.
Veiga spent part of the season on loan at Juventus, while Atletico Madrid showed an interest earlier in the transfer window.
The move will see Chelsea raise an estimated £251.7m from selling 11 players, to balance £277m of spending on nine new players in a busy summer of transfers.
The biggest sales have been Noni Madueke's move to Arsenal for an initial £48m, Joao Felix's deal with Saudi Arabian club Al-Nassr for a fee rising to £43.7m and Kiernan Dewsbury-Hall joining Everton in a £28m deal.
Chelsea remain interested in adding Manchester United winger Alejandro Garnacho and RB Leipzig midfielder Xavi Simons before the transfer window closes on 1 September.
They are also trying to sell additional players, including Nicolas Jackson, Christopher Nkunku, Raheem Sterling, Ben Chilwell and Axel Disasi.
",BBC
Brighton's Enciso to join Strasbourg - then Chelsea,Brighton forward Julio Enciso is close to a move to France before joining Chelsea next year.,https://www.bbc.com/sport/football/articles/ckg4e9vyjp1o?at_medium=RSS&at_campaign=rss,"Wed, 20 Aug 2025 22:14:37",Nizaar Kinsella,['Chelsea'],"Strasbourg are closing in on a move worth a total of £17.3m for Brighton forward Julio Enciso, with a view that he will play for Chelsea after a year in France.
The 21-year-old is expected to finalise terms over a contract in the coming days with Brighton including a sell-on clause in the deal.
Strasbourg are linked to Chelsea through their BlueCo ownership, led by Todd Boehly and Clearlake Capital, with the move for the Paraguay international potentially the most significant since the £65.2m takeover in 2023.
There are significant connections between Chelsea and Strasbourg, who are managed by Englishman Liam Rosenior, with goalkeeper Mike Penders, Kendry Paez and Mamadou Sarr all on loan from Stamford Bridge.
Strasbourg have also signed multiple players from Chelsea, including Ishe Samuels-Smith, Mathis Amougou and Diego Moreira in the last two seasons, while there is a host of ex-Premier League talent at the club from former Brighton defender Valentin Barco and former Southampton forward Sekou Mara.
The Alsace club qualified for the Conference League last season through a seventh-placed finish.
Meanwhile, Enciso leaves Brighton having been left out of the squad for the opening draw against Fulham.
Enciso scored five goals for the Seagulls and spent the second half of last season on loan at Ipswich Town.
",BBC
Eze & Guehi to play in Europe for Crystal Palace,"Marc Guehi and Eberechi Eze, who are wanted by Liverpool and Tottenham respectively, will feature for Crystal Palace in Europe on Thursday.",https://www.bbc.com/sport/football/articles/c939j0jwexzo?at_medium=RSS&at_campaign=rss,"Wed, 20 Aug 2025 14:31:28",,"['Liverpool', 'Tottenham Hotspur']","Crystal Palace boss Oliver Glasner says Eberechi Eze and Marc Guehi will start the Uefa Conference League play-off tie against Fredrikstad as they remain ""committed to the team"".
Liverpool and Palace have held talks about a possible £35m deal for England defender Guehi, 25, to go to Anfield before the transfer deadline.
Meanwhile, Tottenham and Arsenal want to sign Palace's England forward Eze, 27, before the 1 September transfer deadline.
Both players started the 0-0 draw at Chelsea last Sunday and will feature again when Norwegian side Fredrikstad visit Selhurst Park on Thursday (20:00 BST).
""Many of you were surprised he [Eze] and Marc [Guehi] started against Chelsea, you may be surprised they start tomorrow, but they are committed to the team,"" said Glasner on Wednesday.
""They will play a crucial part for as long as they are here, they are committed to the team.
""If they leave, they want to leave as the guys who gave 100% to Crystal Palace.""
'Trust the manager'
Eze and Guehi were key as Palace won the FA Cup last season, the first major honour in the club's history.
Their departures would be a blow but goalkeeper Dean Henderson is confident that the team can kick-on and have a successful season if they both leave.
""We have lost players in the past and we survived through that,"" said Henderson.
""And we brought the best times to this football club.
""Even when we lost Michael [Olise], we followed it up with the best-ever season in 119 years of the club.
""You have got to trust the manager and the process, and we will be very fine.""
'We will enjoy Europe'
Glasner said that Palace are determined to ""enjoy"" playing in the Conference League after losing their appeal against being demoted from the Europa League.
The Eagles qualified for the Europa League after winning the FA Cup last season but were punished by Uefa for breaching multi-club ownership rules.
""This is the last time I will respond to this question,"" added Glasner at his pre-match news conference.
""We shouldn't talk about it any more, we can't change it.
""We deserve to play Europa League, we are the FA Cup champions. But, it was decided we would be demoted, so we will prepare.
""It is the first time European football will be played at Selhust, this is our reward for winning the FA Cup and we will enjoy it.
""Many fans did not expect us to play European football, so this is our approach.""
Fredrikstad are currently eighth in Norway's top-flight.
",BBC
Williams 'learned from mistakes' as ex-Man Utd player rebuilds at Hull,"Brandon Williams, who was sentenced to 14 months for dangerous driving, is ready to focus on his football career again.",https://www.bbc.com/sport/football/articles/cm2k12dd7rlo?at_medium=RSS&at_campaign=rss,"Wed, 20 Aug 2025 17:22:51",,['Manchester United'],"Brandon Williams says he has learned from past mistakes as he refocuses on his football career.
Williams is now at Hull City to begin a new chapter, having signed on a one-year contract.
He was out of the game for 20 months, a period in which he was sentenced to 14 months in prison, suspended for two years, having been convicted for dangerous driving.
It was a dark chapter for the former Manchester United full-back, but he now wants to look forward.
""It was in the moment I was in, I wasn't in a good place,"" the 24-year-old told BBC Radio Humberside.
""It's a big regret and I've learned from my mistakes. I was still a young boy and I'm grown up now. My focus is back on football and that's all I want to do now.""
Williams played 51 games for United after coming through the ranks at Old Trafford.
More than two thirds of those appearances came in his debut season as a teenager under the then manager Ole Gunnar Solskjaer and it looked like he was destined for a glittering career.
He was arrested for dangerous driving in August 2023, before he was eventually released by United last summer and took a complete break from football.
""I just fell out of love with football,"" he said. ""Things were going on off the pitch, I had a lot going on and I just couldn't focus on my football.
""It just got to the stage where it was too much for me to carry on and it was better for me to take a step away and a step back and try and find myself again.""
Stepping away from football in the prime of a career is not an easy thing to do, but Williams reflects on it as the right thing for him.
It allowed him a chance to work away from the public glare and now, thanks to successfully coming through a trial period with Hull, he can start to rebuild.
""I took action to step away from the game but I feel like I managed it well,"" he said.
""I was working in silence. Everyone was questioning what I was doing but I was working the whole time.
""I was keeping fit and making sure I was ready to step back into football. It was always the aim.
""Just before pre-season I felt ready to step back into football and it was important that I did get the training and friendlies in.
""Now it's just building and building, I'm still not 100% but I'm sure in the next weeks and months I'll be there.""
Williams was an unused substitute in the Tigers' win over Oxford United in the Championship on Sunday.
He featured in a couple of pre-season games, but he is eagerly awaiting a competitive return to action for the first time since December 2023.
However, that involvement in the squad did give him the feeling that he has missed while being away from the game.
""It's the nerves and butterflies before the game that I've missed,"" he said.
""I'm not a very patient person, so I was excited to get on the pitch, but I'm sure that'll come soon. Now it's down to me to impress the manager.""

",BBC
